Enrollments,,,,,,,,,,2024-2025 RECRUITMENT BY GRADE ,,,,,,,2025/6 SENIORS,,,,,Avg Return Rate ,50%,,
,2022/23,2023/24,% increase,2024/25,% increase,,Class,Weekly Metrocards,,graduation yr,2028,2027,2026,2025,,,,SY25 (Active),,SY26 Returning (50% est),SY26 Summer Core Sr. Recruitment Goals,,,,
Fresh Air Fund ,84,N/A,N/A,N/A,N/A,,Core 1,0,,grade,9th,10th,11th,12th,sub-total,,,,,,,,,,
Masterclasses,N/A,#N/A,100%,#REF!,#REF!,,Core 3,0,,Core,0,0,0,0,0,,Game Design Lab,0,,,,,,,
Spring Break Game Design Lab ,N/A,46,N/A,#REF!,#REF!,,Adv 1,0,,Core Summer,#REF!,#REF!,#REF!,#REF!,#REF!,,Core Summer,,,,90,(this presumes all 65 will EITHER move on to Adv or continue working with Joelle in the fall),,,
School Based After-school (GP) ,101,87,-14%,N/A,N/A,,Adv 3,0,,Adv,0,0,0,0,0,,Core,0,,,,,,,
Summer Core,88,96,9%,#N/A,#N/A,,Play Lab,0,,Studio,0,0,0,0,0,,Adv,0,,0,,,,,
Senior XP (Summer),N/A,N/A,N/A,#N/A,N/A,,Studio,0,,Play Lab,0,0,0,0,,,Studio,0,,0,,,,,
After-school Core,88,103,17%,#N/A,#N/A,,TOTAL WEEKLY,0,,Senior XP,0,0,0,0,,,Play Lab,0,,,,,,,
Advanced,44,58,32%,#N/A,#N/A,,TOTAL TO JUNE (ish),0,,Game Design Lab,0,0,0,0,,,College Access-Only,,,10,,Need to confirm,,,
Studio,14,20,43%,#N/A,#N/A,,$$,0,,Total,#REF!,#REF!,#REF!,#REF!,,,Totals,0,,10,,,,,
Play Lab,N/A,N/A,N/A,#N/A,N/A,,,,,,,,,,,,,,,Total Seniors SY26 (Goal),100,,,,
Total Enrollments (SIA only),234,277,18%,#N/A,#N/A,,,,,,,,2023/24 =,26,,,,,,,"* just confirming that ""100 graduates by 2026"" does NOT mean cumulative graduations since the goal was set (i.e. Class of 25 this year + class of 26 this coming year)",,,,
Total Enrollements (SIA+GD Lab),N/A,323,N/A,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
Total Enrollments (SIA+GP+Masterclasses),419,#N/A,#N/A,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,
"* Enrollments = # of times students enrolled in classes - duplicates any students who enrolled in 2 courses.  At the end of the year, we will create a merged report that removes duplicated students here: FY25 Merged Student Data (draft)",,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Retention (# of students who completed the program),,,,,,,,,,CORE TO ADVANCED > STUDENT RETENTION YEAR TO YEAR,,,,,,ADV TO STUDIO > STUDENT RETENTION YEAR TO YEAR,,,,,,,,,
,2022/23,2022/23 rate,2023/24,2023/24 rate,% increase,2024/25 ,2024/25 rate,% increase,,Core Program,# students in Core,# who joined Adv 24/25,% of core who continued,% of Adv program,,Year,# active in 3D previous year,# joined Studio SY25,# joined PL SY25,% of 3D who continued,,,,,
Fresh Air Fund ,84,100%,N/A,N/A,N/A,N/A,N/A,N/A,,Summer 2024,89,0,0%,#DIV/0!,,SY25,53,0,0,0%,,,,,
Pop-Up Classes,N/A,N/A,282,N/A,N/A,#REF!,N/A,N/A,,SY 2023-2024,71,0,0%,#DIV/0!,,SY24,38,19,,50%,,,,,
School Based After-school (GP) ,56,55%,55,63%,14%,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
Spring Break Game Design Lab,N/A,N/A,33,72%,N/A,#REF!,#REF!,#REF!,,Summer 2023,84,0,,#DIV/0!,,,,,,,,,,,
